Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Estonia,EST,"Population, total",SP.POP.TOTL,1477219,1487666,1498414,1508745,1518617,1528781,1540190,1552221,1561900,1568131,1569174,1561314,1533091,1494128,1462514,1436634,1415594,1399535,1386156,1390244,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1317384,1321977,1326590,..
Eswatini,SWZ,Population growth (annual %),SP.POP.GROW,3.38095796702996,3.43142646000207,3.46200876415672,3.48011523649864,3.48457755356088,3.46984826209888,3.44666587041366,3.40156974144865,3.30245460393838,3.14716469975445,2.95074794176333,2.74001572483481,2.5379532210493,2.36097041614618,2.21851817105152,2.09562410166786,1.99403193755519,1.87733323892769,1.69732131107396,1.43769579714415,1.13297100018177,0.809694554214466,0.536242323864105,0.366626738316865,0.340054049149655,0.417431988368002,0.533516275867071,0.631152443652352,0.697031442526397,0.713864393250886,0.694531002696807,0.673417714475634,0.67456515205725,0.697191862373575,0.750005807309634,0.820626096641609,0.896297661168183,0.962067725012171,1.01179839738944,1.04530919354082,..
Eswatini,SWZ,"Population, total",SP.POP.TOTL,587858,608380,629811,652115,675239,699080,723595,748632,773768,798507,822420,845266,866993,887706,907620,926841,945508,963426,979918,994108,1005435,1013609,1019059,1022802,1026286,1030579,1036092,1042652,1049945,1057467,1064837,1072032,1079288,1086839,1095021,1104044,1113984,1124753,1136191,1148130,..
Ethiopia,ETH,Population growth (annual %),SP.POP.GROW,1.8783191666558,2.3700267317112,2.77004036662476,3.05442358716407,3.17808304432594,3.1936965455,3.18009474263669,3.1975036915381,3.24249045866154,3.32910956446659,3.43186437219509,3.53296694102239,3.5905117922001,3.57562188571816,3.47655166707968,3.32727511589339,3.16700190215386,3.03401469030334,2.93885611342521,2.89382169520477,2.88267254878244,2.87943415632872,2.86736389629885,2.85094829837995,2.82638818346317,2.79832926449156,2.76813986132425,2.74595439464172,2.74102252312532,2.75685132176147,2.78377094113393,2.81261034549877,2.82961721422517,2.82701836060576,2.79992186176293,2.75612778784043,2.70810630355162,2.66346797807375,2.62001348207265,2.57956334803926,..
Ethiopia,ETH,"Population, total",SP.POP.TOTL,35141712,35984528,36995248,38142674,39374348,40652141,41965693,43329231,44757203,46272299,47887865,49609969,51423585,53295566,55180998,57047908,58883530,60697443,62507724,64343013,66224804,68159423,70142091,72170584,74239505,76346311,78489206,80674348,82916235,85233913,87639964,90139927,92726971,95385785,98094253,100835458,103603501,106400024,109224559,112078730,..
Faroe Islands,FRO,Population growth (annual %),SP.POP.GROW,0.929613871788066,0.891324731225725,0.87211509917663,0.857831798883082,0.90178393367762,0.973173573071876,1.07079620583983,1.15226897949335,1.03243063893606,0.714927084422411,0.228716745193171,-0.326292214827488,-0.811860541228621,-1.01715838521664,-0.890129843311712,-0.505023974310577,-0.0219202105217875,0.396014126412827,0.652942728060665,0.734884213361676,0.641832815875748,0.559042125107033,0.500903095498568,0.420430556446405,0.35356548323078,0.255974626245895,0.146575397392078,0.0690253852562649,-0.0104553296137904,-0.0250972519826597,0.0125494133314031,0.0188211675953241,0.0418121386728431,0.102365914824956,0.14188543047163,0.1895616694955,0.253575127560721,0.327447859520313,0.342876363511462,0.372524228078936,..
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,43337,43725,44108,44488,44891,45330,45818,46349,46830,47166,47274,47120,46739,46266,45856,45625,45615,45796,46096,46436,46735,46997,47233,47432,47600,47722,47792,47825,47820,47808,47814,47823,47843,47892,47960,48051,48173,48331,48497,48678,..
Fiji,FJI,Population growth (annual %),SP.POP.GROW,2.1835679140139,2.44335531245238,2.61653476367723,2.54368752356004,2.16259744776733,1.59917531310974,0.959729516872432,0.436539429812269,0.158785896021415,0.229909933510221,0.547632852141139,0.93281021529124,1.2255283903034,1.39975288521751,1.40028541298983,1.27396705853237,1.14899799853307,1.05890070921691,0.931770519504893,0.765164397013098,0.581584997823587,0.359277180369209,0.163517679030598,0.100408692622419,0.218368492880262,0.456735434086283,0.759761007612358,0.999972276164734,1.09078950706186,0.974228981750954,0.721469406666264,0.421409494112472,0.187443865129006,0.0622877657040182,0.0975716290636655,0.250593763708473,0.43330839422274,0.578334253807858,0.684181932039617,0.729660242086809,..
Fiji,FJI,"Population, total",SP.POP.TOTL,635307,651021,668280,685497,700483,711775,718639,721783,722930,724594,728573,735401,744469,754963,765609,775425,784386,792736,800157,806303,811006,813925,815257,816076,817860,821604,827870,836190,845361,853637,859818,863449,865069,865608,866453,868627,872399,877459,883483,889953,..
Finland,FIN,Population growth (annual %),SP.POP.GROW,0.311078415926419,0.426515644912231,0.560285843941572,0.595991320809624,0.534342930873442,0.41706890447956,0.324794895907026,0.283626731803862,0.290689051012441,0.361018799003539,0.443382073914297,0.546172018187903,0.561909850746084,0.483854088858285,0.431048902829755,0.381655333457214,0.328037913627481,0.297377330426395,0.265472962436301,0.232116249119004,0.2076065154133,0.227687341886374,0.242381050233372,0.238457240068217,0.290350361518584,0.342248594286999,0.383777136305104,0.425429832100631,0.465549284507694,0.478246393482911,0.457494535465831,0.463558707499131,0.475809486683209,0.460723772785295,0.413560207519414,0.329383885818507,0.287421401687637,0.234670531705453,0.132641040791912,0.0867899631484352,..
Finland,FIN,"Population, total",SP.POP.TOTL,4779535,4799964,4826933,4855787,4881803,4902206,4918154,4932123,4946481,4964371,4986431,5013740,5041992,5066447,5088333,5107790,5124573,5139835,5153498,5165474,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5508214,5515525,5520314,..
France,FRA,Population growth (annual %),SP.POP.GROW,0.444063245199575,0.4860567840381,0.519369592422532,0.545606555114693,0.558726957866676,0.561154446747637,0.565740632927293,0.571481199856986,0.56459325984309,0.541862135825315,0.50868659382548,0.554158664314962,0.497240931314439,0.433292243528965,0.372231502703071,0.361249895477809,0.354082270724007,0.353750158686726,0.368597838613228,0.514456334749952,0.684929253818552,0.727786404872444,0.727231515093808,0.708779199037771,0.736313540733143,0.753800831613331,0.697207001264929,0.618697375923742,0.558854358516408,0.514489503911642,0.494035951436993,0.483658695308374,0.484005119770168,0.514784474469256,0.473703877476612,0.355569240058298,0.263868788565368,0.210010696141084,0.151733988951895,0.140234217742883,..
France,FRA,"Population, total",SP.POP.TOTL,55161527,55430296,55718933,56023770,56337666,56654696,56976123,57302663,57627105,57940212,58235697,58559311,58851217,59106768,59327192,59541899,59753100,59964851,60186288,60496718,60912500,61357430,61805267,62244886,62704895,63179351,63621381,64016225,64374984,64707040,65027507,65342780,65659809,65998687,66312067,66548272,66724104,66864379,66965912,67059887,..
French Polynesia,PYF,Population growth (annual %),SP.POP.GROW,3.01967706200953,2.98942114063485,2.95182953322986,2.88749554019535,2.82503332073747,2.73611589516294,2.66984234092809,2.58808531054559,2.47835895100079,2.30505926522252,2.11265317095242,1.89337000721761,1.71257145000527,1.6258341743718,1.67361422975814,1.79245455243075,1.93060835978901,2.02327533752495,2.0522668819097,1.98856038866685,1.8725371891673,1.74833588175288,1.63639021168158,1.48744457658463,1.29313078828667,1.08320858965355,0.858044087716263,0.653391182558943,0.508750447142758,0.450772043150326,0.451751631999957,0.465410563522679,0.484446518124601,0.49320918927644,0.508088239023068,0.52089856029638,0.529854315848876,0.554953683106407,0.569178577392632,0.577415665471892,..
French Polynesia,PYF,"Population, total",SP.POP.TOTL,153301,157953,162685,167451,172249,177027,181817,186584,191266,195726,199905,203726,207245,210642,214197,218071,222322,226866,231570,236221,240686,244931,248972,252703,255992,258780,261010,262721,264061,265254,266455,267698,268998,270328,271705,273124,274575,276103,277679,279287,..
