region,Year,longitude,latitude,Population growth (annual %),"Population, total","Current account balance, Percent of GDP, ","Employment, Persons, Millions","General government gross debt, Percent of GDP, ","General government net debt, National currency, Billions","General government net debt, Percent of GDP, ","General government net lending/borrowing, Percent of GDP, ","General government revenue, Percent of GDP, ","General government structural balance, National currency, Billions","General government structural balance, Percent of potential GDP, ","General government total expenditure, Percent of GDP, ","Gross domestic product per capita, constant prices, National currency, Units","Gross domestic product per capita, constant prices, Purchasing power parity; 2017 international dollar, Units","Gross domestic product per capita, current prices, Purchasing power parity; international dollars, Units","Gross domestic product per capita, current prices, U.S. dollars, Units","Gross domestic product, current prices, Purchasing power parity; international dollars, Billions","Gross domestic product, current prices, U.S. dollars, Billions","Gross national savings, Percent of GDP, ","Population, Persons, Millions","Six-month London interbank offered rate (LIBOR), Percent, ","Total investment, Percent of GDP, ","Unemployment rate, Percent of total labor force, ",GDP per capita growth rate,Investment growth rate
Combined Other Five Regions,1984.0,-14.38038966117216,24.5565439521337,2.0078436136071884,26069669.459540006,-0.8048483333333329,16.967777777777776,103.5287037037037,95.2,25.795,-7.899791666666666,29.616500000000002,-21.1575,-5.15625,37.468575757575756,1305791.9090276223,21220.768086736975,11008.33278969299,6722.57965551282,520.2908173262033,478.9753834848485,19.58332631578947,36.73876652010922,11.19,23.624477211124166,10.777628571428572,0.02570369524710525,0.003782520910856846
Combined Other Five Regions,1985.0,-14.38038966117216,24.5565439521337,2.055313671373556,26403510.901983313,-0.9461364102564105,17.29888888888889,92.46240740740741,120.07,29.499166666666664,-6.386348484848485,30.675636363636364,-26.586,-5.973125,37.0755,1299548.1338458932,21216.813416323406,11267.5719994901,6820.438558122417,557.5129670231729,511.52501212121217,18.931006315789475,37.169447658629146,8.65,22.6833276929103,10.706266666666668,-0.0001863584954797659,-0.039837898202069066
Combined Other Five Regions,1986.0,-14.38038966117216,24.5565439521337,2.0778787976037654,26748691.905976675,-1.8360114102564105,17.590526315789475,88.21037037037037,140.86833333333334,32.307500000000005,-5.231773892773893,30.32421678321678,-15.28888888888889,-3.5007407407407407,35.60802564102564,1193886.478072601,21123.964692076093,11406.016365861919,7260.333513130686,587.1324232976827,546.613601060606,17.764340789473685,37.60819457027815,6.83,22.14211102232667,10.384775,-0.004376186113597913,-0.023859668118835442
Combined Other Five Regions,1987.0,-14.38038966117216,24.5565439521337,2.080730102695764,27098362.801202398,-1.4802983333333333,18.02875,85.30185185185185,150.735,31.796666666666663,-8.085932400932402,30.241995337995338,-13.990555555555558,-3.32,38.30037179487179,1229170.228361907,21330.47238981803,11775.24299153603,8131.475906149712,621.8747840998217,589.8858822727273,18.463536052631582,38.0457331883186,7.31,22.241139584802195,9.899414130434783,0.009775991427376507,0.004472408361410052
Combined Other Five Regions,1988.0,-14.38038966117216,24.5565439521337,1.993996106118956,27452634.77468977,-2.0047566666666663,18.445065789473684,93.81472727272725,129.23952380952383,81.88285714285713,-8.264416666666667,31.338750000000005,-15.511428571428569,-3.61030303030303,39.48403846153847,1100190.9860643835,21433.14014278743,12222.936090709873,8826.670980004134,669.6637182352941,642.3362506060606,18.966536315789476,38.49978138566206,8.13,22.802988421464942,9.542075362318842,0.004813196402457809,0.02526169284269364
Combined Other Five Regions,1989.0,-14.38038966117216,24.5565439521337,1.9225750427899015,27823004.937395167,-1.0272450000000002,18.8175,94.73295454545455,147.62809523809526,94.21904761904761,-4.099950000000001,32.75855,-17.949761904761903,-3.8412121212121213,36.92160833333334,1061849.8431234406,21841.70387812655,12970.140949323213,9269.143749971052,719.9552809447417,691.5765575757575,19.971223076923074,39.953137387812355,9.27,22.94125110367893,9.355322222222222,0.019062243451835492,0.006063357997578844
Combined Other Five Regions,1990.0,-14.38038966117216,24.5565439521337,1.8244092374544434,28092425.15159247,-2.443292245989305,19.05315789473684,72.57603247863248,155.73677083333334,65.66145833333333,-4.989001156737999,31.663112519936202,-23.27357142857143,-4.4381818181818184,36.9695950102529,1102562.8396104176,21262.9992005814,13314.569601052974,10191.923072419788,761.365829344609,741.923677825312,20.444123360433604,40.271969551282055,8.32,22.168017686885506,10.036924736842105,-0.026495399844913115,-0.03370493672288977
Combined Other Five Regions,1991.0,-14.38038966117216,24.5565439521337,1.6736207997917418,28516836.346002538,-6.649752626262625,18.90690789473684,70.55330476190477,573.2239375,54.038000000000004,-7.709542923004442,31.842315273477812,-19.99533333333333,-4.569615384615385,39.62113364293086,1131061.5850825324,20912.6517242326,13528.335498264996,10235.037164696969,786.9118592173882,763.2573305050505,15.705144231811548,40.71646878450497,6.08,21.28572836883346,10.631411640211642,-0.01647686072147425,-0.03980009987875477
Combined Other Five Regions,1992.0,-14.38038966117216,24.5565439521337,1.5998091393327722,29056882.44074642,-4.73431393939394,18.802321428571428,76.88464358974359,434.29844999999995,45.179249999999996,-9.704551315789473,31.06678694331984,-21.45866666666667,-4.654423076923077,40.75630414979757,1138297.860118561,20115.127866069226,13204.913474700958,9280.007524999999,814.8140555821371,775.032051010101,18.13402217602218,40.14444013157894,3.93,21.79271182527065,11.188230952380954,-0.03813595084353849,0.023817998973411525
Combined Other Five Regions,1993.0,-14.38038966117216,24.5565439521337,1.613725189234651,29480598.650878884,-3.097812357723577,18.888315217391305,75.01464615384616,490.20880000000005,47.56722222222223,-7.038826315789474,30.826504578754577,-19.482999999999997,-3.6332857142857145,38.249656781376515,1140992.1670401336,20205.072169147872,13610.51289134769,9045.237620039683,851.8587842333106,803.4253376623376,17.425503113553113,40.54720260025062,3.43,21.399261484593836,11.645373376623377,0.00447147558183647,-0.018054216649649457
Combined Other Five Regions,1994.0,-14.38038966117216,24.5565439521337,1.5653991940005607,29887301.017227363,-1.9570981029810297,19.285108695652173,78.58323095238094,373.43843333333336,53.61619999999999,-8.371599158249158,29.873295995670997,-22.49425,-2.8635714285714284,38.91454935064935,1122328.0486067655,20417.851738783185,13966.96732437595,9289.817453464882,901.1400015207151,849.8461085271317,18.767134101670685,40.94637725356379,5.07,22.53710742296919,11.385468181818181,0.010530997754129023,0.05317220592843985
Combined Other Five Regions,1995.0,-14.38038966117216,24.5565439521337,1.511644918699187,30166287.17581752,-2.4920961403508772,19.559062500000003,71.95532575757576,422.04729166666675,55.945266666666654,-4.25890392494929,30.19185277777778,-16.29190476190476,-2.9764761904761903,34.7640405882353,1125165.3952965538,20689.324741889483,14450.65725808237,10020.652212796696,941.2065846170686,893.6844838665293,18.988476190476188,41.26793422772618,6.1,21.787871036414565,11.012684210526317,0.013295865137008533,-0.03324456739248727
Combined Other Five Regions,1996.0,-14.38038966117216,24.5565439521337,1.5010448055588932,30559864.57794916,-2.217021052631579,19.84177083333333,67.38653445378152,1800.7869467787114,50.82561904761904,-2.2192945393211048,30.69437074574575,-17.8102987012987,-2.601090909090909,33.231434912854034,1158114.449148144,20974.71631127128,14915.223461184054,10363.341898057162,990.8359952887333,942.1514672050971,18.702136123136125,41.729576838515726,5.59,21.690647569539443,11.125364646464645,0.01379414615712271,-0.0044622747542717445
