region,Year,longitude,latitude,Population growth (annual %),"Population, total","Current account balance, Percent of GDP, ","Employment, Persons, Millions","General government gross debt, Percent of GDP, ","General government net debt, National currency, Billions","General government net debt, Percent of GDP, ","General government net lending/borrowing, Percent of GDP, ","General government revenue, Percent of GDP, ","General government structural balance, National currency, Billions","General government structural balance, Percent of potential GDP, ","General government total expenditure, Percent of GDP, ","Gross domestic product per capita, constant prices, National currency, Units","Gross domestic product per capita, constant prices, Purchasing power parity; 2017 international dollar, Units","Gross domestic product per capita, current prices, Purchasing power parity; international dollars, Units","Gross domestic product per capita, current prices, U.S. dollars, Units","Gross domestic product, current prices, Purchasing power parity; international dollars, Billions","Gross domestic product, current prices, U.S. dollars, Billions","Gross national savings, Percent of GDP, ","Population, Persons, Millions","Six-month London interbank offered rate (LIBOR), Percent, ","Total investment, Percent of GDP, ","Unemployment rate, Percent of total labor force, "
East Asia & Pacific,2004.0,102.0805036216216,4.3911238459459465,1.091081081081081,56562658.54054054,0.9536666666666667,14.745714285714286,43.66740740740741,115681.85166666667,35.75833333333333,-0.9936666666666666,30.729666666666667,-3019.718333333334,-0.9772727272727273,31.72433333333333,2761983.429032258,16529.03451612903,13830.544516129032,8329.529677419356,484.24064516129033,303.1832258064516,27.52375,66.60387096774193,0.06,24.53590909090909,5.518571428571428
East Asia & Pacific,2005.0,102.0805036216216,4.3911238459459465,1.0410810810810813,56984439.81081081,1.9463333333333328,14.887142857142857,40.96142857142858,121978.31166666669,33.91,-1.011,30.80533333333333,-1223.0958333333333,-0.3681818181818182,31.816666666666666,2899927.8074193546,17025.71,14685.157741935482,9095.85935483871,532.2535483870967,323.491935483871,27.11625,67.10612903225807,0.07,25.224545454545453,5.334999999999999
East Asia & Pacific,2006.0,102.0805036216216,4.3911238459459465,1.0194594594594595,57403498.35135135,6.132333333333333,15.062857142857142,38.27357142857142,126950.14000000001,32.376666666666665,0.9276666666666669,32.619666666666674,761.6983333333333,0.007272727272727279,31.691,3050195.396451613,17711.199677419358,15735.653225806453,9731.080000000002,588.6409677419355,343.2829032258066,28.939999999999998,67.58645161290322,0.37,25.292727272727276,4.798571428571429
East Asia & Pacific,2007.0,102.0805036216216,4.3911238459459465,0.9645945945945945,57807666.91891892,8.201666666666666,15.264285714285716,35.801428571428566,131594.885,31.438333333333336,-0.7756666666666665,31.64733333333333,-5894.401666666666,0.15272727272727277,32.42166666666667,3218044.7496774197,18381.29548387097,16737.534838709675,10886.372258064517,655.7512903225806,386.87516129032264,29.428125,68.06354838709677,0.86,26.13590909090909,4.921333333333332
East Asia & Pacific,2008.0,102.0805036216216,4.3911238459459465,1.0013513513513514,58219591.35135135,11.14451612903226,15.359999999999998,35.526785714285715,306599.88285714283,31.891428571428573,-0.16533333333333353,34.39999999999999,-2480.3491666666673,-0.6763636363636363,34.564,3355197.738387097,18416.68967741935,17073.674193548388,11709.084193548386,704.8051612903223,444.1303225806454,27.106250000000006,68.55258064516127,1.0,27.70590909090909,4.768666666666666
East Asia & Pacific,2009.0,102.0805036216216,4.3911238459459465,0.934054054054054,58621353.24324324,6.402903225806451,15.218571428571428,44.913103448275855,317074.1885714286,35.09285714285714,-2.4370967741935488,35.39096774193549,-20233.960833333334,-2.2736363636363635,37.82838709677419,3432565.406451613,18238.897096774195,17012.024193548386,10990.125161290327,736.966129032258,460.43935483870956,26.5275,69.02451612903225,0.67,26.562727272727273,5.445333333333334
East Asia & Pacific,2010.0,102.0805036216216,4.3911238459459465,0.9481081081081081,59020168.72972973,5.8022580645161295,15.292857142857141,44.63620689655172,338796.62,35.10285714285714,-1.785483870967742,35.66096774193549,-15220.847499999998,-2.376363636363636,37.4458064516129,3623694.507741935,19659.664516129033,18488.376774193548,12853.987419354838,805.6883870967741,534.7806451612902,28.116875,69.50612903225804,0.43,27.016818181818188,4.914000000000001
East Asia & Pacific,2011.0,102.0805036216216,4.3911238459459465,0.9943243243243245,59418719.81081081,5.064516129032258,15.421428571428573,43.15999999999999,360537.62,36.54571428571428,-0.9106451612903224,35.25258064516129,-10680.4825,-1.793636363636364,36.16354838709678,3793622.289032259,20905.155161290328,20007.477419354836,15074.725806451617,873.0454838709676,621.0135483870966,28.396874999999994,70.0348387096774,0.34,29.003181818181815,4.8168750000000005
East Asia & Pacific,2012.0,102.0805036216216,4.3911238459459465,1.1016216216216217,59825873.13513514,7.315806451612903,15.51142857142857,42.12172413793103,336203.0528571429,33.27285714285715,-0.829032258064516,35.93935483870968,-33387.88916666667,-1.538181818181818,36.76935483870968,3949636.369032259,21441.92935483871,20949.602258064522,15863.012580645165,942.5319354838712,664.6367741935481,28.123125,70.52387096774194,0.33,28.847727272727266,4.6
East Asia & Pacific,2013.0,102.0805036216216,4.3911238459459465,1.1735135135135137,60235209.83783784,4.685483870967741,15.68142857142857,42.216206896551725,397401.7442857143,33.65857142857143,1.2109677419354838,37.203870967741935,-44088.855833333335,-1.7836363636363637,35.99354838709678,4118462.891935483,22095.263548387098,21937.04032258064,16066.982903225806,1001.9945161290323,671.0651612903229,27.674375,71.01290322580645,0.24,28.515454545454546,4.471875000000001
East Asia & Pacific,2014.0,102.0805036216216,4.3911238459459465,1.3075675675675675,60651088.18918919,5.634193548387096,15.877142857142855,43.56275862068965,432125.3128571428,33.824285714285715,1.173225806451613,39.145161290322584,-42589.51416666667,-1.2936363636363635,37.971612903225804,4285483.110967742,22158.96903225807,22240.89387096774,16142.909032258067,1045.196451612903,693.7380645161288,27.7025,71.51129032258065,0.18,27.41227272727273,4.3125
East Asia & Pacific,2015.0,102.0805036216216,4.3911238459459465,1.2075675675675674,61064709.972972974,0.9403225806451619,16.017142857142854,44.73586206896552,496589.76142857136,34.69428571428571,0.15451612903225845,39.55129032258064,-48420.58000000001,-1.5663636363636364,39.39677419354839,4448622.738064515,21407.88064516129,20921.01387096774,14531.580967741933,1081.6990322580646,687.1248387096775,27.584374999999998,72.00258064516127,0.13,27.278181818181825,4.312500000000001
East Asia & Pacific,2016.0,102.0805036216216,4.3911238459459465,1.1881081081081082,61485885.94594595,2.3767741935483877,16.18857142857143,43.774137931034495,556018.12,36.14571428571428,-0.7312903225806452,39.88354838709677,-40430.875833333346,-1.299090909090909,40.61451612903225,4624297.228387097,21642.985161290326,21217.147419354835,14789.893225806454,1123.3796774193554,714.6638709677419,27.521875,72.52645161290322,0.01,26.856818181818188,4.428125
East Asia & Pacific,2017.0,102.0805036216216,4.3911238459459465,1.0027027027027027,61906628.18918919,3.382580645161292,16.384285714285713,43.18344827586207,632929.0642857142,36.262857142857136,1.1345161290322574,40.28709677419354,-37247.96583333333,-1.1118181818181816,39.15193548387097,4826504.372580646,22374.663870967743,22374.663870967743,15712.950967741936,1182.9441935483867,762.3970967741939,27.829375000000006,73.00806451612904,0.02,27.49136363636364,4.291875000000001
East Asia & Pacific,2018.0,102.0805036216216,4.3911238459459465,0.9735135135135135,62285507.89189189,2.7016129032258065,16.655714285714286,43.292413793103435,703540.4528571427,37.201428571428565,2.303870967741936,42.38129032258063,-25987.04833333333,-1.3936363636363636,40.077741935483864,5034525.653548387,22886.440322580645,23435.936129032263,16521.003870967743,1273.028064516129,827.9800000000002,26.996874999999996,73.4241935483871,0.02,27.679999999999996,4.041874999999999
East Asia & Pacific,2019.0,102.0805036216216,4.3911238459459465,0.9994594594594591,62622628.675675675,3.5954838709677417,16.835714285714285,43.63620689655172,763949.7842857142,39.478571428571435,-0.3638709677419355,40.78258064516129,-53206.22833333333,-2.4527272727272726,41.14741935483871,5232580.091935484,22813.073225806453,23777.85225806452,16314.783225806452,1354.9338709677418,852.4467741935483,26.32875,73.79838709677418,-0.02,26.91545454545455,4.006875
East Asia & Pacific,2020.0,102.0805036216216,4.3911238459459465,,62942891.89189189,-2.8335483870967746,16.692857142857143,50.21931034482758,977272.8499999999,54.14428571428572,-6.780645161290324,38.640967741935484,-119202.46666666667,-7.971818181818182,45.42096774193548,5148149.039354839,19847.6670967742,20979.080645161295,13994.314193548389,1362.6435483870969,851.8635483870968,24.755000000000003,74.15870967741935,-0.02,26.99045454545454,5.900624999999999
East Asia & Pacific,2021.0,102.0805036216216,4.3911238459459465,,63245729.72972973,-3.7516129032258063,16.88,52.294827586206885,1145543.2128571428,58.82714285714286,-5.747741935483871,37.13354838709676,-114900.69249999999,-5.982727272727273,42.88193548387097,5379984.333225806,20808.63741935484,22480.753225806453,15139.330322580645,1484.0593548387092,927.7487096774197,24.786875,74.49612903225807,-0.04,27.19636363636364,4.960625
East Asia & Pacific,2022.0,102.0805036216216,4.3911238459459465,,63529243.24324324,-2.666451612903226,,53.2941379310345,1278993.0528571426,60.87571428571429,-4.944516129032258,36.40064516129032,-99317.3925,-4.030909090909091,41.3458064516129,5633834.776774195,21973.569677419353,24161.616451612907,16266.418064516129,1586.0277419354832,995.9651612903224,25.038749999999997,74.81709677419354,,27.411363636363635,4.4075
East Asia & Pacific,2023.0,102.0805036216216,4.3911238459459465,,63793540.54054054,-1.7461290322580643,,53.97931034482759,1392783.525714286,62.04571428571428,-4.048064516129033,36.39225806451613,-91038.80666666666,-3.6072727272727274,40.44032258064517,5893890.8806451615,23128.455161290327,25892.4,17456.815483870963,1693.741612903226,1071.5041935483875,25.238750000000003,75.1216129032258,,27.12136363636364,4.1587499999999995
East Asia & Pacific,2024.0,102.0805036216216,4.3911238459459465,,64038783.783783786,-1.8261290322580646,,55.362413793103464,1507445.2300000002,62.44571428571429,-4.0035483870967745,35.76516129032259,-94142.21749999998,-3.3,39.76903225806452,6154170.086774195,23802.947096774187,27157.0635483871,18311.805161290322,1808.487096774193,1149.2929032258062,25.267500000000005,75.40612903225805,,26.802272727272726,4.03125
East Asia & Pacific,2025.0,102.0805036216216,4.3911238459459465,,64266054.05405405,-1.5445161290322582,,56.60517241379309,1630154.2271428572,62.67714285714286,-3.6048387096774195,35.50290322580644,-91442.89666666667,-3.1063636363636373,39.10774193548387,6419293.717096773,24401.582903225808,28384.92387096774,19122.839677419353,1929.046129032258,1229.210322580645,25.625624999999996,75.67096774193548,,26.649090909090912,3.933124999999999
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,1980.0,19.67987364285714,48.05946785714285,0.9264912280701754,13788376.789473685,-2.9950000000000006,8.84764705882353,35.1875,42.57666666666666,34.51,-1.9418181818181814,41.849090909090904,-3.4014285714285712,-1.8400000000000003,43.78999999999999,222541.43559999994,24423.268400000004,9191.0556,9140.380799999999,172.2912,163.9624,24.236000000000008,19.615599999999997,,26.86666666666667,4.398
Europe & Central Asia,1981.0,19.67987364285714,48.05946785714285,0.9080701754385964,13879908.754385965,-3.0174999999999996,8.309444444444445,38.14125,48.79666666666666,34.83,-3.397272727272728,42.73181818181818,-5.663333333333333,-3.698571428571429,46.12727272727273,228451.8064,24541.055200000006,10110.3068,8369.202800000001,188.92120000000003,148.00600000000003,23.140799999999995,19.734799999999996,,26.615416666666665,5.196
Europe & Central Asia,1982.0,19.67987364285714,48.05946785714285,0.8633333333333335,13963205.421052631,-2.2029166666666664,8.24888888888889,39.591111111111104,39.0675,24.795,-3.8872727272727263,43.24181818181818,-6.804444444444445,-3.117142857142857,47.12636363636364,232286.91079999998,24739.6256,10820.992,8006.5888,202.17120000000003,143.07080000000002,23.217599999999997,19.827600000000004,,26.33,5.7333333333333325
Europe & Central Asia,1983.0,19.67987364285714,48.05946785714285,0.8499999999999998,14042735.07017544,-1.1891666666666667,8.197222222222223,42.53666666666667,50.116,22.396,-3.8325,42.56583333333334,-6.651999999999999,-3.6375,46.399166666666666,230945.36279999997,25092.597999999998,11408.984400000001,7693.258000000001,214.51039999999998,139.34959999999998,23.0184,19.918799999999997,,25.36041666666667,6.2200000000000015
Europe & Central Asia,1984.0,19.67987364285714,48.05946785714285,0.8387719298245613,14125846.315789474,-0.4179166666666667,8.216111111111111,45.32111111111111,56.410000000000004,22.59,-2.654166666666667,42.905,-7.1049999999999995,-2.7525,45.55666666666667,238137.29640000005,25832.996800000008,12173.7576,7517.0248,228.22560000000001,133.90680000000003,23.7052,19.997999999999998,,25.747200000000003,6.5704761904761915
Europe & Central Asia,1985.0,19.67987364285714,48.05946785714285,0.8303508771929824,14210417.877192982,-0.5645833333333333,8.280555555555557,48.00222222222223,67.42,24.458333333333332,-2.665833333333333,43.405,-8.412,-2.9462499999999996,46.06916666666667,242020.09920000003,26516.927200000002,12894.099199999999,7766.9664,241.53400000000002,138.94400000000002,24.1516,20.0804,,25.189999999999994,6.769999999999998
Europe & Central Asia,1986.0,19.67987364285714,48.05946785714285,0.8549122807017543,14297088.140350876,-0.4041666666666666,7.992105263157896,49.89111111111111,77.15666666666665,25.765000000000004,-2.835384615384615,43.59153846153846,-8.056666666666665,-2.8422222222222224,46.42846153846154,250945.19800000003,27366.3004,13575.067599999998,10322.64,253.5736,186.1536,24.475200000000005,20.1672,,25.360399999999995,6.6400000000000015
Europe & Central Asia,1987.0,19.67987364285714,48.05946785714285,0.8928070175438599,14385040.754385965,-0.3191666666666666,8.09,50.29555555555555,80.49000000000001,25.113333333333333,-2.047692307692308,43.47846153846153,-6.871666666666667,-2.67,45.527692307692305,263609.1844,28120.862800000003,14292.968399999998,12689.731200000004,268.1544,228.3664,24.205600000000004,20.25,,25.4556,6.478695652173914
Europe & Central Asia,1988.0,19.67987364285714,48.05946785714285,0.862456140350877,14473357.298245614,-0.20083333333333334,8.215263157894737,54.83363636363637,147.96857142857147,33.83857142857143,-2.356666666666667,43.223333333333336,-11.364285714285716,-3.830909090909091,45.580000000000005,262980.44879999995,28967.1016,15234.9156,14104.864000000001,288.3564,255.2651999999999,24.853200000000005,20.346000000000007,,26.0424,6.303043478260871
Europe & Central Asia,1989.0,19.67987364285714,48.05946785714285,0.7589473684210527,14558904.912280701,-0.60875,8.36,54.937272727272735,165.46428571428572,35.64714285714286,-2.558666666666667,42.640666666666675,-14.159285714285712,-4.703636363636363,45.19866666666666,263901.0468,29887.4096,16328.9424,14239.1688,309.38879999999995,260.17400000000004,25.071199999999997,25.322692307692304,,26.367599999999996,5.730833333333333
Europe & Central Asia,1990.0,19.67987364285714,48.05946785714285,0.6232758620689656,14508973.189655172,-0.9237499999999997,8.492631578947368,54.73538461538461,166.28375,33.822500000000005,-2.7549999999999994,42.801249999999996,-17.690714285714282,-4.974545454545454,45.5575,261513.4232,29311.03111111112,17247.3008,17133.655200000005,329.4668,319.8508,25.000000000000004,25.48807692307692,,25.218846153846147,5.7884
Europe & Central Asia,1991.0,19.67987364285714,48.05946785714285,0.5056896551724138,14575829.155172413,-1.6745833333333324,8.502631578947367,56.01785714285713,182.94875,34.24,-3.324117647058823,43.707058823529415,-25.041333333333334,-4.918461538461537,47.03176470588236,248209.40560000006,27996.664482758617,17812.092800000002,17514.301599999995,343.66880000000003,338.7763999999999,20.9352,25.627692307692307,,21.768076923076926,6.862962962962962
Europe & Central Asia,1992.0,19.67987364285714,48.05946785714285,0.38551724137931026,14635825.913793104,-4.32,7.714285714285715,60.72,208.64625,34.99125,-4.2105263157894735,42.269999999999996,-26.174666666666667,-5.127692307692308,46.479473684210525,264783.63475,21912.188048780492,13402.09675,12139.1205,280.26025,234.29975,19.912162162162165,20.219250000000006,,22.807837837837834,8.295666666666666
Europe & Central Asia,1993.0,19.67987364285714,48.05946785714285,0.3360344827586206,14688340.637931034,-2.592195121951219,7.0682608695652185,68.11,273.21999999999997,36.52111111111111,-5.932631578947368,40.73761904761904,-36.845,-5.526428571428572,48.288947368421056,246019.26809523805,21169.86790697674,13278.031666666668,10732.504523809524,269.78714285714284,208.11047619047613,17.914750000000005,19.483095238095245,,20.93775,9.437878787878788
Europe & Central Asia,1994.0,19.67987364285714,48.05946785714285,0.25948275862068965,14724689.620689655,-0.9692682926829269,7.040434782608695,69.37124999999999,350.50666666666666,41.92,-4.8055,37.57666666666667,-36.30624999999999,-5.042857142857144,45.877,238183.31348837205,21423.726976744194,13451.056976744183,11292.48465116279,267.54279069767443,216.49720930232564,18.955853658536583,19.16372093023256,,21.673999999999996,9.49
Europe & Central Asia,1995.0,19.67987364285714,48.05946785714285,0.15999999999999998,14749838.810344828,-2.1482222222222225,7.00125,56.75333333333333,304.71062500000016,39.824999999999996,-4.732941176470588,38.35722222222223,-37.392857142857146,-4.5723809523809535,44.32735294117648,233954.96933333328,21686.090444444442,13892.501333333332,12876.364222222215,269.0008888888888,239.86555555555555,19.95,18.646666666666665,,22.199761904761907,10.928421052631577
