Country Name,Country Code,Series Name,Series Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,6150733,6249314,6349553,6452069,6557581,6666447,6778624,6893489,7010027,7126881,7159000,7271000,7382000,7495000,7597000,7685000,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10023318,10112000,10195000,10270000,10340000,10404000,10464000
"Bahamas, The",BHS,Population growth (annual %),SP.POP.GROW,2.211936787,2.223529506,2.231040162,2.201010543,2.12708044,2.004368492,1.874652393,1.764136917,1.703653434,1.71564194,1.767915704,1.850289915,1.90542672,1.876807562,1.746933796,1.560379122,1.345024017,1.183205481,1.120860244,1.185320185,1.347398334,1.520667125,1.652399307,1.761996908,1.824351295,1.853248287,1.882682626,1.901849904,1.847733423,1.70871838,1.515331048,1.297394475,1.108201634,0.980915204,0.93928457,0.959409324,0.990519136,1.008311908,1.010953344,0.991335935,,,,,,
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,210591,215326,220184,225084,229923,234578,239017,243271,247451,251733,256223,261008,266029,271069,275846,280184,283978,287358,290597,294062,298051,302618,307660,313129,318894,324859,331033,337389,343681,349604,354942,359577,363584,367168,370633,374206,377931,381761,385640,389482,393000,397000,401000,404000,408000,411000
Bahrain,BHR,Population growth (annual %),SP.POP.GROW,4.864860237,3.878372963,3.113122583,2.685219182,2.680583903,2.952602004,3.295378077,3.511263863,3.550482373,3.358500552,3.038867721,2.750322258,2.580585977,2.477998889,2.463393346,2.535706425,2.620858138,2.771997796,3.106077696,3.65426213,4.31530764,4.836512065,5.25020912,5.756701712,6.360159526,6.904396412,7.500231305,7.776022595,7.324342452,6.127452758,4.599778006,2.960981473,1.690591501,1.153830127,1.587749264,2.642471156,3.856582461,4.677986951,4.921161372,4.469239009,,,,,,
Bahrain,BHR,"Population, total",SP.POP.TOTL,359888,374120,385950,396454,407225,419428,433480,448971,465198,481087,495931,509760,523086,536210,549583,563697,578666,594931,613700,636541,664611,697545,735146,778708,829844,889164,958418,1035919,1114641,1185076,1240860,1278151,1299943,1315029,1336075,1371851,1425791,1494074,1569439,1641172,1702000,1748000,1784000,1812000,1838000,1865000
Bangladesh,BGD,Population growth (annual %),SP.POP.GROW,2.685744757,2.636994968,2.612842273,2.599438336,2.605599764,2.620590611,2.634995039,2.630222816,2.595027768,2.523387808,2.429599019,2.325303226,2.233022266,2.16825965,2.140080738,2.134495915,2.13048473,2.111534456,2.077340311,2.022751065,1.95238739,1.886287145,1.820070221,1.731266118,1.615198017,1.484744774,1.347130256,1.226617775,1.145653022,1.116805726,1.124803493,1.144262127,1.15494813,1.156713453,1.142594657,1.117283565,1.091300482,1.070244022,1.050044649,1.042001128,,,,,,
Bangladesh,BGD,"Population, total",SP.POP.TOTL,79639491,81767515,83932127,86142495,88416521,90764183,93187603,95671163,98186350,100695497,103171956,105599127,107983704,110350639,112737683,115169930,117649932,120160564,122682815,125189651,127657854,130088702,132478086,134791603,136986432,139035505,140921167,142660376,144304167,145924797,147575430,149273778,151007807,152764676,154520167,156256276,157970840,159670593,161356039,163046161,164689000,166303000,167886000,169432000,170937000,172399000
Barbados,BRB,Population growth (annual %),SP.POP.GROW,0.414098995,0.357530261,0.309038836,0.277477726,0.277884106,0.299359298,0.328807979,0.354088496,0.370602905,0.377697806,0.37589338,0.370667606,0.373863554,0.375123836,0.385425437,0.400115068,0.410504062,0.425233622,0.427517241,0.413126506,0.392645061,0.362122764,0.338874712,0.330075479,0.347517603,0.376717927,0.416757555,0.439788762,0.446079294,0.41279802,0.364679446,0.302945811,0.251638162,0.20986071,0.185900767,0.175042007,0.165289294,0.152789486,0.142439723,0.133875829,,,,,,
Barbados,BRB,"Population, total",SP.POP.TOTL,252394,253298,254082,254788,255497,256263,257107,258019,258977,259957,260936,261905,262886,263874,264893,265955,267049,268187,269336,270451,271515,272500,273425,274329,275284,276323,277477,278700,279946,281104,282131,282987,283700,284296,284825,285324,285796,286233,286641,287025,287000,288000,288000,288000,289000,289000
Belarus,BLR,Population growth (annual %),SP.POP.GROW,0.613722216,0.692401877,0.677412013,0.683014022,0.678380569,0.653761443,0.679391164,0.67480657,0.286405805,0.29542119,0.186649693,0.049060493,0.215580681,0.224883986,-0.117267677,-0.323196991,-0.334086977,-0.424126493,-0.475578029,-0.420607218,-0.471131335,-0.512966688,-0.636565666,-0.699809191,-0.682169472,-0.68300556,-0.612296198,-0.458847536,-0.345415054,-0.22296073,-0.170360662,-0.183624023,-0.091637482,0.015868579,0.089902558,0.159300802,0.12551111,-0.034421419,-0.155570407,-0.17564847,,,,,,
