Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Low income,LIC,"Population, total",SP.POP.TOTL,234993767,240770883,246643720,252671956,258935415,265497522,272367574,279547387,287081457,295019822,303390406,312235599,321531045,331155718,340941571,350774281,360601917,370477990,380522587,390910661,401768207,413123461,424933735,437166682,449765047,651327587,668454965,686091000,704297000,723048000,742220000,761652000,781220000
Lower middle income,LMC,Population growth (annual %),SP.POP.GROW,2.440568903,2.465783158,2.47361387,2.476602461,2.463176072,2.435459052,2.40755181,2.378505138,2.344902057,2.307206128,2.377245775,2.209729292,2.169142783,2.118097327,2.063445336,2.024512275,1.99494903,1.962751961,1.924376553,1.879426789,1.841788162,1.799925866,1.765430869,1.735810671,1.71019341,1.44557808,1.426182213,1.395693003,1.372263268,1.34947949,1.325909654,1.301730546,1.277620219
Lower middle income,LMC,"Population, total",SP.POP.TOTL,1390765927,1425059199,1460309661,1496475726,1533336558,1570680342,1608495285,1646753428,1685368183,1724253101,1765242835,1804249923,1843386680,1882431404,1921274347,1960170782,1999275190,2038516003,2077744727,2116794418,2155781287,2194583752,2233327611,2272093950,2310951151,2872397765,2913363391,2954025000,2994562000,3034973000,3075214000,3115245000,3155046000
Luxembourg,LUX,Population growth (annual %),SP.POP.GROW,0.355980932,0.294773135,0.082107428,0.026533652,0.102785608,0.193256819,0.448670999,0.648083393,0.725614579,0.972627746,1.251745707,1.33968317,1.328347571,1.342387029,1.361840137,1.404742464,1.361143941,1.253502484,1.243870803,1.350621285,1.344082996,1.190456345,1.047660816,1.21520088,1.421332565,1.928837514,1.945908029,..,..,..,..,..,..
Luxembourg,LUX,"Population, total",SP.POP.TOTL,364150,365225,365525,365622,365998,366706,368355,370750,373450,377100,381850,387000,392175,397475,402925,408625,414225,419450,424700,430475,436300,441525,446175,451630,458095,607950,619896,629000,636000,643000,649000,655000,661000
"Macao SAR, China",MAC,Population growth (annual %),SP.POP.GROW,1.111284459,2.202629738,3.148697728,3.817378139,4.12445457,4.172215487,4.175403694,4.170728579,4.004968001,3.675691805,3.259273611,2.815649545,2.426310155,2.153773987,2.031896235,2.021525363,2.018335629,2.008057658,2.038128772,2.117714549,2.221643908,2.346362782,2.454679671,2.496097626,2.45396865,1.443311366,1.384996838,..,..,..,..,..,..
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,238071,243373,251158,260931,271918,283503,295591,308180,320773,332783,343808,353626,362311,370199,377798,385513,393373,401352,409616,418383,427782,437938,448821,460165,471597,631636,640445,649000,658000,667000,677000,685000,694000
Madagascar,MDG,Population growth (annual %),SP.POP.GROW,2.87320786,2.881174748,2.887068501,2.883603458,2.868631294,2.848587822,2.827680981,2.815764824,2.820917591,2.846708996,2.886200258,2.924293091,2.957769712,2.995996637,3.038715307,3.081080716,3.121640178,3.151818125,3.162060693,3.148876612,3.119708696,3.085857705,3.053493767,3.019969277,2.986676242,2.66961324,2.656240162,..,..,..,..,..,..
Madagascar,MDG,"Population, total",SP.POP.TOTL,8716553,8971345,9234129,9504281,9780872,10063495,10352120,10647754,10952395,11268658,11598633,11942819,12301336,12675460,13066543,13475400,13902688,14347854,14808791,15282521,15766806,16260932,16765117,17279141,17802997,26262368,26969307,27691000,28427000,29178000,29943000,30720000,31510000
Malawi,MWI,Population growth (annual %),SP.POP.GROW,2.838839388,2.557925939,2.367141392,2.584933103,3.308931505,4.267670558,5.332808386,6.008498625,5.908845122,4.956700091,3.560188966,2.061177883,0.887867949,0.251161384,0.36347657,1.007915331,1.795711094,2.386949286,2.761655365,2.821589494,2.676475988,2.508833906,2.4339583,2.416570938,2.48269491,2.641917288,2.640375193,..,..,..,..,..,..
